type,name,latitude,longitude,city
heliport,Midwest Heliport,41.7489013671875,-87.9350967407227,Willowbrook
small_airport,Grass Roots Airport,31.2521991729736,-92.4757995605469,Alexandria
heliport,Pauls Valley General Hospital Heliport,34.71979,-97.214237,Pauls Valley
heliport,Bentley Heliport,42.6912002563477,-70.9123001098633,Ipswich
small_airport,Breezecroft Airport,39.2500991821289,-76.2052001953125,Chestertown
small_airport,Drisko Airport,44.6570014953613,-67.559196472168,Jonesboro
heliport,Northern Pines Medical Center Heliport,47.5175001,-92.2302778,Aurora
heliport,Portageville Community Heliport,36.4297981262207,-89.6800994873047,Portageville
heliport,Va Medical Center Jackson Heliport,32.3189010620117,-90.168098449707,Jackson
small_airport,Jones Landing,45.815368,-111.152163,Belgrade
closed,Brunswick Community Hospital Heliport,34.008099,-78.2911,Supply
small_airport,Mc Kay Airport,41.7221984863,-98.3089981079,Spalding
heliport,Stumpfield Heliport,42.9239006042481,-70.9514007568359,Kensington
heliport,Paulus Hook Pier Heliport,40.7140007019043,-74.0315017700195,Jersey City
small_airport,Baker Ranches Airport,39.0311,-114.088219,Baker
heliport,Oswego County At Pulaski Heliport,43.5519981384277,-76.090202331543,Pulaski
small_airport,Dorlon Airpark,41.2883987426758,-81.9626007080078,Columbia Station
closed,Hawk Haven Airport,35.8534,-97.567497,Crescent
small_airport,Peacock Ranch Airport,45.4415016174316,-117.350997924805,Enterprise
heliport,PECO Mob. Heliport,39.9548,-75.178201,Philadelphia
heliport,State Police Area Iii Heliport,40.3000984191895,-76.8580017089844,Harrisburg
small_airport,Mills Brothers Airport,40.1427993774414,-77.8619003295898,Burnt Cabins
small_airport,Vernonia Airfield,45.8515014648438,-123.241996765137,Vernonia
small_airport,Brandes Air Field,29.8090991973877,-96.2650985717773,Sealy
small_airport,Hilde-Griff Field,30.7220993041992,-97.7913970947266,Georgetown
closed,Thurmond Glenn Field,35.556998,-89.552903,Covington
small_airport,Dew Drop Airport,33.1292991638184,-97.3585968017578,Justin
small_airport,Circle 'A' Ranch Airport,32.1291999816895,-97.4041976928711,Blum
small_airport,Oljato Airport,37.0332984924316,-110.317001342773,Oljato
small_airport,Blanca Airport,37.4110984802246,-105.552001953125,Blanca
small_airport,Providence Airport,37.2242012023926,-78.4186019897461,Farmville
heliport,Port of Highgate Springs Heliport,45.0133018493652,-73.0867004394531,Highgate Springs
heliport,Sacred Heart Medical Center Helistop,47.6482009887695,-117.414001464844,Spokane
small_airport,Ames Private Airport,42.6511001586914,-88.7459030151367,Darien
small_airport,Flat Creek Field,48.702222,-118.0475,Kettle Falls
small_airport,Johnson Memorial Airport,33.0792999267578,-91.5431976318359,Wilmot
small_airport,Henning Municipal Airport,46.3037986755371,-95.4394989013672,Henning
small_airport,June Lake Airpark,61.627619,-149.575331,Wasilla
heliport,Brown Stagefield Army Heliport,31.3883991241455,-85.9723968505859,Fort Rucker/New Brockton
small_airport,Bondair Airport,35.5444984436035,-92.1848983764648,Higden
heliport,Mercy Gilbert Medical Center Heliport,33.2858009338379,-111.752998352051,Gilbert
seaplane_base,Lucky Landing Marina and Seaplane Base,44.9070014954,-68.8050003052,Bangor
heliport,Sce Solar I Heliport,34.8708000183105,-116.833999633789,Yermo
heliport,Abc7-Tv Heliport,35.1571998596191,-118.289001464844,Glendale
